original_phrase,cluster_id,cluster_name
Price is far too high compared to competitors.,103,Overpriced Wholesale
Bulk pack is overpriced per ounce compared to sale.,103,Overpriced Wholesale
Product costs more than at alternative retailers.,103,Overpriced Wholesale
Price is overpriced compared to store prices.,103,Overpriced Wholesale
Price is higher than at Walmart or gas station.,102,Overpriced vs Store
Price is higher than grocery store price.,102,Overpriced vs Store
Cost per ounce is extremely high.,102,Overpriced vs Store
Overpriced compared to Walmart and gas station.,102,Overpriced vs Store
Bulk purchase is much more expensive per ounce.,102,Overpriced vs Store
Amazon's price is too high compared to Walmart.,102,Overpriced vs Store
Customer overpaid compared to local store price.,102,Overpriced vs Store
Amazon's price is excessively high compared to Walmart.,102,Overpriced vs Store
Amazon's price is too high compared to Walmart.,102,Overpriced vs Store
Amazon price is significantly higher than store price.,102,Overpriced vs Store
Price on Amazon is much higher than in stores.,102,Overpriced vs Store
American ownership ruined the chips' quality.,107,Ownership Ruined Chips
Company changed chip cut and texture.,107,Ownership Ruined Chips
Chinese manufacturing origin not clearly highlighted.,107,Ownership Ruined Chips
Product packaging does not match advertised picture.,191,Photo Mismatch
Product photo misrepresented the actual item delivered.,191,Photo Mismatch
Product does not match the advertised picture.,191,Photo Mismatch
Product appearance did not match images.,191,Photo Mismatch
Weight described does not match actual product.,191,Photo Mismatch
Product appearance did not match advertised image.,191,Photo Mismatch
Too much white pith causes bitterness.,0,Pith Bitterness
Excessive white pith causes bitterness and dilutes flavor.,0,Pith Bitterness
Excessive white pith causes bitterness in orange peel.,0,Pith Bitterness
Excessive white pith on orange peel causes bitterness.,0,Pith Bitterness
Too much white pith causes bitterness and dilutes flavor.,0,Pith Bitterness
Excessive white pith causes bitterness and dilutes zest.,0,Pith Bitterness
Excessive white pith causes bitterness.,0,Pith Bitterness
White pith makes orange peel overly bitter.,0,Pith Bitterness
Too much white pith causes bitterness.,0,Pith Bitterness
Watery and plastic-tasting hot chocolate.,95,Plastic Aftertaste
Hot chocolate cups have a plastic aftertaste.,95,Plastic Aftertaste
Watery consistency in both milk and dark chocolate.,95,Plastic Aftertaste
"Watery, plastic-tasting hot chocolate for Keurig.",95,Plastic Aftertaste
Watery hot chocolate with plastic aftertaste.,95,Plastic Aftertaste
Unpleasant plastic-like aftertaste in the hot chocolate.,95,Plastic Aftertaste
"Watery, plastic-tasting hot chocolate from poor brand.",95,Plastic Aftertaste
Watery hot chocolate with plastic aftertaste.,95,Plastic Aftertaste
Unpleasant aftertaste made hot chocolate undrinkable.,95,Plastic Aftertaste
The hot chocolate has a plastic-like aftertaste.,95,Plastic Aftertaste
Product was watery in both chocolate flavors.,95,Plastic Aftertaste
Watery and plastic-tasting hot chocolate.,95,Plastic Aftertaste
Strong plastic/chemical taste in the hot chocolate.,95,Plastic Aftertaste
Watery and plastic aftertaste ruined the hot chocolate.,95,Plastic Aftertaste
Horrible aftertaste ruins the hot chocolate.,95,Plastic Aftertaste
The hot chocolate cups have a plastic aftertaste.,95,Plastic Aftertaste
The hot chocolate was too watery.,95,Plastic Aftertaste
Strong plastic/chemical taste in hot chocolate.,95,Plastic Aftertaste
Product contained plastic pieces despite company's prior knowledge.,50,Plastic Contamination
Plastic pieces in baby food product.,50,Plastic Contamination
Inconsistent texture and color in baby food jars.,50,Plastic Contamination
Plastic pieces found in baby food jars.,50,Plastic Contamination
Plastic pieces found in baby food jars.,50,Plastic Contamination
Plastic pieces were found in two jars.,50,Plastic Contamination
Pointy bottle top prevents upside-down storage.,160,Pointy Bottle Top
Pointy bottle top prevents upside-down storage.,160,Pointy Bottle Top
Pointy bottle top prevents upside-down storage.,160,Pointy Bottle Top
Bags never close well.,209,Poor Bag Closure
Poor packaging causes mangled shipments each month.,209,Poor Bag Closure
Poor packaging caused opened bags and damage.,209,Poor Bag Closure
Poor packaging caused opened bags and grease stains.,209,Poor Bag Closure
Packaging failure caused opened bags and grease stains.,209,Poor Bag Closure
Weak seals on packaging cause spillage during shipping.,209,Poor Bag Closure
Packaging fails to stay sealed during shipping.,209,Poor Bag Closure
Poor packaging leads to bags unsealing during shipping.,209,Poor Bag Closure
Bags had holes due to poor quality control.,209,Poor Bag Closure
Holes in multiple bags indicate poor quality control.,209,Poor Bag Closure
Poor build quality causes early failure.,153,Poor Build Quality
Cheap plastic construction made it feel fragile.,153,Poor Build Quality
Internal design flaw causes intermittent failure.,153,Poor Build Quality
Poor design with missing user interface.,153,Poor Build Quality
Product fails after a few months due to cheap construction.,153,Poor Build Quality
Both units failed within a year.,153,Poor Build Quality
Flimsy build caused product failure after three months.,153,Poor Build Quality
Poor design and defective plastic cover.,153,Poor Build Quality
"Design flaws cause leaks, breakage, and frustration.",153,Poor Build Quality
Faulty o-ring seal causes water leaks.,153,Poor Build Quality
Faulty plastic cover design leads to spills and frustration.,153,Poor Build Quality
Poor design leads to leaks and instability.,153,Poor Build Quality
Poor quality and design flaws make it overpriced.,153,Poor Build Quality
Poor quality and design flaws cause multiple problems.,153,Poor Build Quality
Lollipops appearance differs from advertised image.,183,Poor Lollipops
"Lollipops were poor quality, broken, and misrepresented.",183,Poor Lollipops
Dispenser is poorly made and dysfunctional.,183,Poor Lollipops
Deceptive resale of inferior Oriental Trading Company lollipops.,183,Poor Lollipops
Lack of packaging makes product unappealing.,197,Poor Packaging Preservation
Original packaging fails to preserve freshness.,197,Poor Packaging Preservation
Missing individual packaging causes melting and sticking.,197,Poor Packaging Preservation
Lack of individual packaging causes melting and sticking.,197,Poor Packaging Preservation
Amazon's muffins were poor quality and undercounted.,80,Poor Quality Muffins
Tasteless and unlike real English muffins.,80,Poor Quality Muffins
The gluten-free muffin mix was too bitter.,80,Poor Quality Muffins
The muffins have a bitter taste.,80,Poor Quality Muffins
The muffin mix's taste and size were disappointing.,80,Poor Quality Muffins
Bitter aftertaste made the muffins barely edible.,80,Poor Quality Muffins
Bitterness of the gluten-free muffin mix.,80,Poor Quality Muffins
The muffins had a very bitter taste.,80,Poor Quality Muffins
The muffins have a bitter aftertaste.,80,Poor Quality Muffins
The muffins were too bitter to enjoy.,80,Poor Quality Muffins
The muffins had a bitter taste.,80,Poor Quality Muffins
Bitter aftertaste made muffins barely edible.,80,Poor Quality Muffins
The muffin was dry and disappointing.,80,Poor Quality Muffins
Muffin mix tastes of flour and sour cream.,80,Poor Quality Muffins
The muffin was dry and disappointing.,80,Poor Quality Muffins
Dry muffin led to disappointment.,80,Poor Quality Muffins
Laddoos spoiled quickly due to poor quality.,229,Quickly Spoiled
The laddoos had a short shelf life.,229,Quickly Spoiled
The laddoos spoiled quickly after delivery.,229,Quickly Spoiled
Product tasted rancid like flax oil.,230,Rancid Flax Taste
Rancid fishy/grassy taste from bad batch.,230,Rancid Flax Taste
Product had a rancid flax oil taste.,230,Rancid Flax Taste
"Rancid flax oil caused the fishy, grassy taste.",230,Rancid Flax Taste
Old oil or cheese flavoring causes rancid taste.,230,Rancid Flax Taste
Old oil or cheese flavoring caused rancid taste.,230,Rancid Flax Taste
Recipe change removed the spicy Thai flavor.,104,Recipe Change Lost Flavor
"Ingredients changed, key ginger removed.",104,Recipe Change Lost Flavor
Ingredient change removed ginger and lowered spice level.,104,Recipe Change Lost Flavor
"Seasoning reduced, resulting in bland taste.",207,Reduced Seasoning
The seasoning tastes like rancid powdered milk.,207,Reduced Seasoning
The product is tasteless and requires seasoning.,207,Reduced Seasoning
Product is tasteless and needs additional seasoning.,207,Reduced Seasoning
Reduced seasoning made chips taste bland.,227,Reduced Seasoning
"Seasoning was reduced, causing bland chips.",227,Reduced Seasoning
Chips' taste was personally unappealing.,227,Reduced Seasoning
Rancid sour cream seasoning made chips taste awful.,227,Reduced Seasoning
Rancid powdered sour cream seasoning ruined chips.,227,Reduced Seasoning
"Chips are stale, rancid, and flavorless.",227,Reduced Seasoning
"Chips taste stale, rancid, and like styrofoam.",227,Reduced Seasoning
Rancid oil or cheese flavoring ruined chips.,227,Reduced Seasoning
Recipe change made chips taste like regular chips.,227,Reduced Seasoning
Recipe change made chips taste like regular chips.,227,Reduced Seasoning
Overwhelming garlic taste made chips unlikable.,227,Reduced Seasoning
Overwhelming garlic taste ruined the chips.,227,Reduced Seasoning
US version tastes different from UK version.,237,Regional Taste Difference
US version tastes different from UK/Indian version.,237,Regional Taste Difference
US version tastes different from UK version.,237,Regional Taste Difference
Frosting had rubber cement consistency.,15,Rubber Cement Frosting
The frosting had a rubber cement consistency.,15,Rubber Cement Frosting
Frosting's gooey texture made it unusable.,15,Rubber Cement Frosting
Frosting slides off cake despite proper cooling.,15,Rubber Cement Frosting
Bumble Bee's takeover ruined the clam chowder quality.,98,Ruined Clam Chowder
Bumble Bee takeover ruined the chowder's quality.,98,Ruined Clam Chowder
Bumble Bee takeover ruined Snow's chowder quality.,98,Ruined Clam Chowder
Bumble Bee takeover ruined clam chowder quality.,98,Ruined Clam Chowder
The consistency is too runny for spoon.,114,Runny Consistency
Too runny consistency fails to stay on spoon.,114,Runny Consistency
Runny consistency causes it to not stay on spoon.,114,Runny Consistency
"Frosting had poor consistency, runny and sticky.",12,Runny Frosting
"Frosting had poor consistency, unusable for cake.",12,Runny Frosting
Frosting had consistency of rubber cement.,12,Runny Frosting
"Hard to use with inadequate, non-stick frosting.",12,Runny Frosting
Frosting consistency was too runny and sticky.,31,Runny Sticky Frosting
"Frosting has a gluey, tacky consistency.",31,Runny Sticky Frosting
"Frosting's thick, gooey texture was off-putting.",31,Runny Sticky Frosting
Frosting slides off cake due to poor consistency.,31,Runny Sticky Frosting
Product labeled sensitive skin contains SLS.,170,SLS in Sensitive Product
Sensitive skin product contains SLS ingredient.,170,SLS in Sensitive Product
"Sensitive skin product contains SLS, contradicting claim.",170,SLS in Sensitive Product
Different flavors all tasted the same.,242,Same Flavors
All flavors tasted identical.,242,Same Flavors
All flavors tasted identical to each other.,242,Same Flavors
Other flavors were just so-so.,242,Same Flavors
Sausages lack advertised heat or spiciness.,212,Sausages No Heat
Sausages tasted like cardboard and lacked snap.,212,Sausages No Heat
The caramels lacked the expected rich buttery dairy flavor.,212,Sausages No Heat
Caramels lacked rich buttery dairy flavor.,212,Sausages No Heat
Lacked rich buttery dairy caramel flavor.,212,Sausages No Heat
"Store removed non-summer items, disappointing customer.",234,Seasonal Disappointment
Product's flavor is unseasonal for summer.,234,Seasonal Disappointment
Removal of winter flavors caused customer disappointment.,234,Seasonal Disappointment
Seasonally inappropriate flavor disappointed the customer.,234,Seasonal Disappointment
"Business removed non-summer items, disappointing customer.",234,Seasonal Disappointment
Removal of non-summer seasonal drinks caused disappointment.,234,Seasonal Disappointment
Seasonal mismatch: eggnog and gingerbread in summer.,162,Seasonal Mismatch
Poor gingerbread quality causes breakage in shipping.,162,Seasonal Mismatch
Fragile gingerbread cracks during shipping.,162,Seasonal Mismatch
Poor gingerbread quality causes breakage during shipping.,162,Seasonal Mismatch
Substituted with irrelevant seasonal flavors instead of teas.,43,Seasonal Substitution
Package substituted with non-tea flavors.,43,Seasonal Substitution
Misleading substitution with non-tea flavors.,43,Seasonal Substitution
Substituted non-tea flavors for promised tea mix.,43,Seasonal Substitution
Shipping all cans in one large box caused denting.,57,Shipping Damage
Dented cans from shipping cause inconvenience.,57,Shipping Damage
Shipping all cans in one box caused dents and difficulty.,57,Shipping Damage
Dented cans forced returns or disposal.,57,Shipping Damage
"Cans arrived bent and warped, unusable.",57,Shipping Damage
Cans were badly bent and warped.,57,Shipping Damage
Dented cans from shipping on Amazon.,57,Shipping Damage
Corroded can interior caused safety concern.,57,Shipping Damage
Unexpected postage due and used packaging.,205,Shipping Packaging Issues
Shipping packaging is not sturdy enough.,205,Shipping Packaging Issues
Unexpected postage due and reused packaging.,205,Shipping Packaging Issues
Shipping packaging is too flimsy for transit.,205,Shipping Packaging Issues
Display box used for shipping caused chip damage.,205,Shipping Packaging Issues
Short energy duration not worth the price.,75,Short Energy Boost
Short-lived energy boost not worth cost.,75,Short Energy Boost
Short energy duration not worth cost.,75,Short Energy Boost
Received 1 instead of ordered 6.,203,Short Quantity
"Ordered 6 pack, received only one.",203,Short Quantity
Received only 1 stick instead of 6.,203,Short Quantity
Weak coffee with sickening aftertaste.,22,Sickening Aftertaste
Coffee too weak with sickening aftertaste.,22,Sickening Aftertaste
Coffee is weak with a sickening aftertaste.,22,Sickening Aftertaste
Weak coffee with sickening aftertaste.,22,Sickening Aftertaste
Item was smaller than described as large.,174,Smaller Than Described
Product was described as large but was too small.,174,Smaller Than Described
Misleading packaging shows far fewer crackers than expected.,174,Smaller Than Described
Misleading packaging exaggerates actual cracker quantity.,174,Smaller Than Described
Misleading ad overstates asparagus storage capacity.,174,Smaller Than Described
Dispenser was smaller than described.,174,Smaller Than Described
Deceptive packaging exaggerates product size and quantity.,174,Smaller Than Described
Misleading packaging exaggerates product size with air.,174,Smaller Than Described
Product size is much smaller than packaging suggests.,174,Smaller Than Described
Tea tastes like unpleasant second hand smoke.,69,Smoke Tainted Tea
"Tea has no flavor, just hot water.",69,Smoke Tainted Tea
Herbal additives destroy real tea taste.,69,Smoke Tainted Tea
Chemical taste and smell unlike real tea.,69,Smoke Tainted Tea
"Tea tastes and smells chemical, not like tea.",69,Smoke Tainted Tea
"Chemical taste and smell, not like tea.",69,Smoke Tainted Tea
Tea tastes terrible with a moldy aftertaste.,69,Smoke Tainted Tea
Expiration date too soon after purchase.,254,Soon Expiration
Stale product due to suspected falsified expiration dates.,254,Soon Expiration
Expiration date is too soon after purchase.,254,Soon Expiration
Product expires too soon after purchase.,254,Soon Expiration
Product had an expired 'Use By' date.,254,Soon Expiration
Expired use-by date on the product.,254,Soon Expiration
Hot cocoa has a strange sour milk aftertaste.,100,Sour Milk Aftertaste
Hot cocoa has a sour milk aftertaste.,100,Sour Milk Aftertaste
The hot cocoa has a sour milk aftertaste.,100,Sour Milk Aftertaste
Received wrong product containing soy allergen.,77,Soy Allergen Issue
Received wrong crackers containing soy.,77,Soy Allergen Issue
Received wrong product containing soy.,77,Soy Allergen Issue
Received wrong crackers containing soy.,77,Soy Allergen Issue
"Beans were stale, lacking oil.",4,Stale Beans
The coffee beans were not fresh.,4,Stale Beans
Coffee beans were not fresh and lacked oil.,4,Stale Beans
The beans were too old to cook.,4,Stale Beans
Beans were too old to cook.,4,Stale Beans
Beans were old and past their prime.,4,Stale Beans
Product was stale despite not being expired.,249,Stale But Not Expired
Expired candy not as described.,249,Stale But Not Expired
Stale product upon arrival made them inedible.,249,Stale But Not Expired
The product arrived stale and inedible.,249,Stale But Not Expired
"Received stale, unedible product from Amazon.",249,Stale But Not Expired
Stale product from Amazon was inedible.,249,Stale But Not Expired
Cigars arrived cracked and stale.,67,Stale Cracked Cigars
Cigars were stale and cracked upon arrival.,67,Stale Cracked Cigars
The gum cigars were hard and too sweet.,67,Stale Cracked Cigars
Cigars arrived cracked and stale.,67,Stale Cracked Cigars
"Cracked and stale cigars, unfit for consumption.",67,Stale Cracked Cigars
Cracker Jacks were stale despite unexpired date.,41,Stale Cracker Jacks
Stale Cracker Jacks tasted like cardboard.,41,Stale Cracker Jacks
The cracker jacks were stale.,41,Stale Cracker Jacks
The Cracker Jacks were stale and cardboard-like.,41,Stale Cracker Jacks
The cracker jacks were stale.,41,Stale Cracker Jacks
Cracker Jacks were stale and cardboard-like.,41,Stale Cracker Jacks
Cracker jacks were stale and disappointing.,41,Stale Cracker Jacks
"Stale nuts and hard, chewy fruits.",236,Stale Nuts Fruit
Nuts and fruit were stale and hard upon opening.,236,Stale Nuts Fruit
Nuts stale and fruit hard upon opening.,236,Stale Nuts Fruit
Candy is stale and not as described.,236,Stale Nuts Fruit
The pop-tart was stale and tasted awful.,224,Stale Pop-Tart
The pop-tart was stale upon opening.,224,Stale Pop-Tart
Stale Pop-Tart left an awful taste.,224,Stale Pop-Tart
Stale coffee was the main issue.,23,Stale Watery Coffee
Coffee was too weak and watery.,23,Stale Watery Coffee
Coffee was too weak and watery.,23,Stale Watery Coffee
The coffee was weak and watery.,23,Stale Watery Coffee
"Coffee is watery, thin, and possibly old.",23,Stale Watery Coffee
Premium coffee tasted watery and thin.,23,Stale Watery Coffee
Strong sucralose taste ruins chocolate flavor.,37,Sucralose Overpowering
Sucralose sweetener causes overly sweet and weak cocoa.,37,Sucralose Overpowering
Strong sucralose taste ruins chocolate flavor.,37,Sucralose Overpowering
Strong sucralose taste ruins chocolate flavor.,37,Sucralose Overpowering
Strong sucralose taste ruins the chocolate flavor.,37,Sucralose Overpowering
Weak chocolate flavor and overly sweet sucralose.,37,Sucralose Overpowering
Sugar free candy causes loose bowels.,105,Sugar Free Diarrhea
Candy's sugar alcohol content causes diarrhea.,105,Sugar Free Diarrhea
Sugar-free candy causes loose bowels.,105,Sugar Free Diarrhea
Stale boxes with suspect expiration dates.,255,Suspicious Expiration
Stale and not crunchy despite valid expiration date.,255,Suspicious Expiration
Stale product due to suspected date tampering.,255,Suspicious Expiration
Stale product arrived after 6 days.,255,Suspicious Expiration
Short expiration dates cause seeds to go rancid.,255,Suspicious Expiration
Short expiration dates risk seeds going rancid.,255,Suspicious Expiration
Unpleasant artificial sweetener aftertaste ruins the hot cocoa.,82,Sweetener Aftertaste
Cocoa is watery and has an aftertaste.,82,Sweetener Aftertaste
Watery with artificial sweetener and minimal cocoa flavor.,82,Sweetener Aftertaste
Disliked artificial sweetener aftertaste in sugar-free cocoa.,82,Sweetener Aftertaste
Cocoa is watery brown sugar water with aftertaste.,82,Sweetener Aftertaste
Artificial sweetener aftertaste is the main issue.,147,Sweetener Aftertaste
Artificial sweetener caused an unwanted aftertaste.,147,Sweetener Aftertaste
Artificial sweetener aftertaste is off-putting.,147,Sweetener Aftertaste
The artificial sweetener aftertaste is the main issue.,147,Sweetener Aftertaste
Unexpected artificial sweetener caused bad aftertaste.,147,Sweetener Aftertaste
Artificial sweetener's aftertaste ruined the product.,147,Sweetener Aftertaste
Artificial sweetener alters human cell shape.,140,Sweetener Health Claim
Artificial sweetener ruined the taste.,140,Sweetener Health Claim
Artificial sweeteners claimed to change human cell shape.,140,Sweetener Health Claim
Artificial sweeteners change human cell shape.,140,Sweetener Health Claim
Artificial sweetener made it overly sweet.,140,Sweetener Health Claim
Artificial sweeteners may alter human cell shape.,140,Sweetener Health Claim
Artificial sweetener ruins the taste of sweet hot chocolate.,181,Sweetener Ruins Cocoa
Artificial sweetener overpowered the chocolate flavor.,181,Sweetener Ruins Cocoa
Artificial sweetener ruined the hot chocolate flavor.,181,Sweetener Ruins Cocoa
Artificial sweetener taste overpowered the chocolate flavor.,181,Sweetener Ruins Cocoa
Product tastes identical to tap water.,64,Tastes Like Tap Water
Product tastes identical to tap water.,64,Tastes Like Tap Water
Product tastes identical to plain tap water.,64,Tastes Like Tap Water
Talking Rain tastes identical to tap water.,64,Tastes Like Tap Water
Water contains impurities that cloud hot tea.,47,Teabag Quality Issues
Flimsy teabag material causes tearing.,47,Teabag Quality Issues
The tea balls fall apart in hot water.,47,Teabag Quality Issues
Tea balls disintegrate in hot water.,47,Teabag Quality Issues
Poor teabag material causes tearing.,47,Teabag Quality Issues
Teabag material is flimsy and tears easily.,47,Teabag Quality Issues
Overpriced product with terrible taste.,194,Terrible Taste High Price
Taste is bad and price is high.,194,Terrible Taste High Price
Terrible taste and high cost.,194,Terrible Taste High Price
Frosting texture is thick and gooey.,32,Thick Gooey Frosting
Frosting was insufficient and didn't stick well.,32,Thick Gooey Frosting
The frosting was crusty and gelatinous.,32,Thick Gooey Frosting
The Hodgson bread mix is too dry.,85,Too Dry Mix
The Hodgson bread mix is too dry.,85,Too Dry Mix
The bread mix is too dry.,85,Too Dry Mix
White bread is flavorless and not full-bodied.,85,Too Dry Mix
The chips are too greasy.,252,Too Greasy Salty
Chips were excessively salty for all tasters.,252,Too Greasy Salty
The chips were excessively salty.,252,Too Greasy Salty
Sampler pack contained mostly decaf and few flavors.,3,Too Many Decaf
Sampler had too many decaf pods.,3,Too Many Decaf
Too many decaf K-cups in sampler.,3,Too Many Decaf
Sampler pack had too many decaf cups and few flavored.,3,Too Many Decaf
Sampler contained too many decaf K-Cups.,3,Too Many Decaf
Sampler had too many decaf K-Cups.,3,Too Many Decaf
Sampler pack had too much decaf.,3,Too Many Decaf
"Sampler pack lacked variety, mostly decaf.",3,Too Many Decaf
Popcorn not crispy and has too many hulls.,221,Too Many Hulls
Too many hulls and not crispy enough.,221,Too Many Hulls
Excessive hulls and lack of crispiness.,221,Too Many Hulls
Too much sugar and poor quality.,145,Too Much Sugar
Excessive grains and insufficient quality protein.,145,Too Much Sugar
Too much sugar and low quality.,145,Too Much Sugar
"Too much sugar, not enough rose flavor.",145,Too Much Sugar
Product too sweet due to sucralose.,59,Too Sweet Sucralose
Sucralose made the product sickly sweet.,59,Too Sweet Sucralose
Undisclosed sucralose in cups caused headache.,59,Too Sweet Sucralose
Sucralose makes all flavors sickly sweet.,59,Too Sweet Sucralose
Sucralose makes the product overly sweet.,59,Too Sweet Sucralose
Reviewer claims product contains toxic metals.,177,Toxic Metals Claim
Aluminum baking powder is considered toxic.,177,Toxic Metals Claim
Product not edible Disco Dust for baking.,177,Toxic Metals Claim
Product is not edible baking Disco Dust.,177,Toxic Metals Claim
Product not edible Disco Dust for baking.,177,Toxic Metals Claim
Contains hydrogenated oil (trans fat).,185,Trans Fat Content
Ingredients page omits trans fat as first ingredient.,185,Trans Fat Content
Hydrogenated oil (trans fat) in product.,185,Trans Fat Content
The small tins are underfilled.,184,Underfilled Containers
Products are underfilled in small containers.,184,Underfilled Containers
"Containers are underfilled, deceiving customers.",184,Underfilled Containers
Unexpected Sucralose in non-diet product.,60,Undisclosed Sweetener
Sucralose not labeled on front of box.,60,Undisclosed Sweetener
Product contains unwanted sucralose.,60,Undisclosed Sweetener
Sucralose in product caused negative review.,60,Undisclosed Sweetener
"Customer expected only mango, not a fruit blend.",154,Unexpected Fruit Blend
"Drink contains grape and pineapple, not just mango.",154,Unexpected Fruit Blend
"Product contains grape and pineapple, not just mango.",154,Unexpected Fruit Blend
"Pancake mix was potato starch, not expected.",19,Unexpected Pancake Mix
Pancakes had insufficient flavor without heavy toppings.,19,Unexpected Pancake Mix
"The fine crystalline mix creates dense, bland pancakes.",19,Unexpected Pancake Mix
"Pancakes are pale, hard, and tasteless.",19,Unexpected Pancake Mix
The pancake mix lacks sufficient sweetness and flavor.,19,Unexpected Pancake Mix
"Pancake mix produces thin, bland batter.",19,Unexpected Pancake Mix
The pancake mix is completely flavorless.,19,Unexpected Pancake Mix
The pancake mix lacks flavor and sugar.,19,Unexpected Pancake Mix
Mix produces thin batter and bland pancakes.,19,Unexpected Pancake Mix
Poor packaging and syrup caused strange pancake taste.,19,Unexpected Pancake Mix
Mix yields flavorless pancakes despite additions.,19,Unexpected Pancake Mix
Packaging and syrup made pancakes taste strange.,19,Unexpected Pancake Mix
The pancake mix is bland and thin.,19,Unexpected Pancake Mix
The pancake mix has no flavor.,19,Unexpected Pancake Mix
The pancake mix itself is flavorless.,19,Unexpected Pancake Mix
The pancake mix tastes overly processed and fake.,19,Unexpected Pancake Mix
"The pancake mix has poor, unsweet flavor.",19,Unexpected Pancake Mix
The pancake mix tastes bad and cooks poorly.,19,Unexpected Pancake Mix
Excessive unhealthy ingredients and artificial additives.,175,Unhealthy Additives
Unhealthy ingredients like hydrogenated oil and artificial additives.,175,Unhealthy Additives
Product contains excessive artificial and unhealthy ingredients.,175,Unhealthy Additives
Disliked half the flavors in the assortment.,243,Unliked Assorted Flavors
Most flavors were not kid-friendly.,243,Unliked Assorted Flavors
Non-original flavors in variety pack were disgusting.,243,Unliked Assorted Flavors
Drink is an unappealing acquired taste.,180,Unpleasant Acquired Taste
The drink was nearly undrinkable and unpleasant.,180,Unpleasant Acquired Taste
The drink had a funny taste.,180,Unpleasant Acquired Taste
The drink's taste is unpleasant and hard to drink.,180,Unpleasant Acquired Taste
The drink was bland and not special.,180,Unpleasant Acquired Taste
"The beverage had a bland, unappealing taste.",180,Unpleasant Acquired Taste
The drink was bland and not special.,180,Unpleasant Acquired Taste
The drink was bland and unsweet.,180,Unpleasant Acquired Taste
"The drink has a bland, odd flavor.",180,Unpleasant Acquired Taste
Bland and unappealing taste of the drink.,180,Unpleasant Acquired Taste
The drink's taste and texture were unappealing.,180,Unpleasant Acquired Taste
Disliked the coffee's chicory taste.,36,Unpleasant Chicory
"The coffee had an unpleasant, bitter taste.",36,Unpleasant Chicory
The coffee's unpleasant flavor ruins the experience.,36,Unpleasant Chicory
The coffee tasted burnt and bitter.,36,Unpleasant Chicory
The coffee tasted like burnt toast.,36,Unpleasant Chicory
Unpleasant flavor overshadows the low-acid benefit.,134,Unpleasant Flavor
Added cane juice makes it taste unhealthy.,134,Unpleasant Flavor
Unpleasant flavor overrides the low-acid benefit.,134,Unpleasant Flavor
Superfluous added cane juice ruins the taste and healthiness.,134,Unpleasant Flavor
Added cane juice makes it taste unhealthy.,134,Unpleasant Flavor
Added cane juice ruins the coconut pineapple drink.,134,Unpleasant Flavor
Awful taste and no energy boost.,134,Unpleasant Flavor
The goji cacao maca flavor is unpleasant.,71,Unpleasant Superfood Mix
Goji cacao & maca flavor is awful.,71,Unpleasant Superfood Mix
The goji cacao & maca flavor is awful.,71,Unpleasant Superfood Mix
Goji cacao & maca flavor is unpleasantly disliked.,71,Unpleasant Superfood Mix
Artificial sweetener aftertaste made it unpleasant.,156,Unpleasant Sweetener
The artificial sweetener aftertaste was unpleasant.,156,Unpleasant Sweetener
Artificial sweetener aftertaste is unpleasant.,156,Unpleasant Sweetener
The taste of the product was unsatisfactory.,262,Unsatisfactory Taste
The taste was cheap and unpleasant.,262,Unsatisfactory Taste
The taste was mediocre and not worth it.,262,Unsatisfactory Taste
Poor packaging and syrup caused strange taste.,262,Unsatisfactory Taste
Coffee smells and tastes like vinegar.,29,Vinegar Taste
The coffee's smell and taste are disgusting.,29,Vinegar Taste
The coffee tastes and smells like vinegar.,29,Vinegar Taste
Coffee tastes like vinegar.,29,Vinegar Taste
"Coffee tastes like chemicals, not coffee.",29,Vinegar Taste
Coffee tastes like vinegar and is unpalatable.,29,Vinegar Taste
"Coffee tastes like chemicals, not coffee.",29,Vinegar Taste
"Tastes like chemicals, not coffee.",29,Vinegar Taste
Coffee tastes like burnt toast.,29,Vinegar Taste
The food tastes like vomit.,266,Vomit Taste
Food tastes like vomit.,266,Vomit Taste
The food tastes like vomit.,266,Vomit Taste
"Product lacks chocolate flavor, tastes like water.",169,Watery Chocolate
Too sweet and not chocolatey enough.,169,Watery Chocolate
Watered down chocolate taste due to poor quality.,169,Watery Chocolate
Too sweet and not chocolatey enough.,169,Watery Chocolate
"Watered down chocolate flavor, overly sweet.",169,Watery Chocolate
"Lacks chocolate flavor, tastes like colored water.",169,Watery Chocolate
Too sweet and lacks chocolate flavor.,169,Watery Chocolate
Watered-down chocolate taste with excessive sweetness.,169,Watery Chocolate
Insufficient chocolate flavor regardless of water ratio.,169,Watery Chocolate
"No chocolate flavor, just fake sugar taste.",169,Watery Chocolate
Overly sweet and lacks chocolate flavor.,169,Watery Chocolate
Overly sweet with little blueberry flavor.,169,Watery Chocolate
The item lacked flavor and was watery.,218,Watery Flavorless
Product lacked authentic taste and texture.,218,Watery Flavorless
Taste did not meet expectations.,218,Watery Flavorless
Product lacked expected taste and texture.,218,Watery Flavorless
Taste and size fell short of expectations.,218,Watery Flavorless
Product lacked authentic taste and texture.,218,Watery Flavorless
Hot chocolate K-Cups are watery and unsatisfying.,91,Watery Hot Chocolate
Insufficient chocolate in K-cup causes watered-down taste.,91,Watery Hot Chocolate
The chocolate K-cup drinks were too watery.,91,Watery Hot Chocolate
Keurig hot chocolate K-Cups are watery and grainy.,91,Watery Hot Chocolate
Not enough chocolate in the k-cup.,91,Watery Hot Chocolate
